ts,ret
2010-03-14 00:00:00-05:00,0.0
2010-03-15 00:00:00-04:00,0.0
2010-03-16 00:00:00-04:00,0.0
2010-03-17 00:00:00-04:00,0.0
2010-03-18 00:00:00-04:00,0.0
2010-03-19 00:00:00-04:00,0.0
2010-03-21 00:00:00-04:00,0.0
2010-03-22 00:00:00-04:00,0.0
2010-03-23 00:00:00-04:00,0.0
2010-03-24 00:00:00-04:00,0.0
2010-03-25 00:00:00-04:00,0.0
2010-03-26 00:00:00-04:00,0.0
2010-03-28 00:00:00-04:00,0.0
2010-03-29 00:00:00-04:00,0.0
2010-03-30 00:00:00-04:00,0.0
2010-03-31 00:00:00-04:00,0.0
2010-04-01 00:00:00-04:00,0.0
2010-04-02 00:00:00-04:00,0.0
2010-04-04 00:00:00-04:00,0.0
2010-04-05 00:00:00-04:00,0.0
2010-04-06 00:00:00-04:00,0.0
2010-04-07 00:00:00-04:00,0.0
2010-04-08 00:00:00-04:00,0.0
2010-04-09 00:00:00-04:00,0.0
2010-04-11 00:00:00-04:00,0.0
2010-04-12 00:00:00-04:00,0.0
2010-04-13 00:00:00-04:00,0.0
2010-04-14 00:00:00-04:00,0.0
2010-04-15 00:00:00-04:00,0.0
2010-04-16 00:00:00-04:00,0.0
2010-04-18 00:00:00-04:00,0.0
2010-04-19 00:00:00-04:00,0.0
2010-04-20 00:00:00-04:00,0.0
2010-04-21 00:00:00-04:00,0.0
2010-04-22 00:00:00-04:00,0.0
2010-04-23 00:00:00-04:00,0.0
2010-04-25 00:00:00-04:00,0.0
2010-04-26 00:00:00-04:00,0.0
2010-04-27 00:00:00-04:00,0.0
2010-04-28 00:00:00-04:00,0.0
2010-04-29 00:00:00-04:00,0.0
2010-04-30 00:00:00-04:00,0.0
2010-05-02 00:00:00-04:00,0.0
2010-05-03 00:00:00-04:00,0.0
2010-05-04 00:00:00-04:00,0.0
2010-05-05 00:00:00-04:00,0.0
2010-05-06 00:00:00-04:00,0.0
2010-05-07 00:00:00-04:00,0.0
2010-05-09 00:00:00-04:00,0.0
2010-05-10 00:00:00-04:00,0.0
2010-05-11 00:00:00-04:00,0.0
2010-05-12 00:00:00-04:00,0.0
2010-05-13 00:00:00-04:00,0.0
2010-05-14 00:00:00-04:00,0.0
2010-05-16 00:00:00-04:00,0.0
2010-05-17 00:00:00-04:00,0.0
2010-05-18 00:00:00-04:00,0.0
2010-05-19 00:00:00-04:00,0.0
2010-05-20 00:00:00-04:00,0.0
2010-05-21 00:00:00-04:00,0.0
2010-05-23 00:00:00-04:00,0.0
2010-05-24 00:00:00-04:00,0.0
2010-05-25 00:00:00-04:00,0.0
2010-05-26 00:00:00-04:00,0.0
2010-05-27 00:00:00-04:00,0.0
2010-05-28 00:00:00-04:00,0.0
2010-05-30 00:00:00-04:00,0.0
2010-05-31 00:00:00-04:00,0.0
2010-06-01 00:00:00-04:00,0.0
2010-06-02 00:00:00-04:00,0.0
2010-06-03 00:00:00-04:00,0.0
2010-06-04 00:00:00-04:00,0.0
2010-06-06 00:00:00-04:00,0.0
2010-06-07 00:00:00-04:00,0.0
2010-06-08 00:00:00-04:00,0.0
2010-06-09 00:00:00-04:00,0.0
2010-06-10 00:00:00-04:00,0.0
2010-06-11 00:00:00-04:00,0.0
2010-06-13 00:00:00-04:00,0.0
2010-06-14 00:00:00-04:00,0.0
2010-06-15 00:00:00-04:00,0.0
2010-06-16 00:00:00-04:00,0.0
2010-06-17 00:00:00-04:00,0.0
2010-06-18 00:00:00-04:00,0.0
2010-06-20 00:00:00-04:00,0.0
2010-06-21 00:00:00-04:00,0.0
2010-06-22 00:00:00-04:00,0.0
2010-06-23 00:00:00-04:00,0.0
2010-06-24 00:00:00-04:00,0.0
2010-06-25 00:00:00-04:00,0.0
2010-06-27 00:00:00-04:00,0.0
2010-06-28 00:00:00-04:00,0.0
2010-06-29 00:00:00-04:00,0.0
2010-06-30 00:00:00-04:00,0.0
2010-07-01 00:00:00-04:00,0.0
2010-07-02 00:00:00-04:00,0.0
2010-07-04 00:00:00-04:00,0.0
2010-07-05 00:00:00-04:00,0.0
2010-07-06 00:00:00-04:00,0.0
2010-07-07 00:00:00-04:00,0.0
2010-07-08 00:00:00-04:00,0.0
2010-07-09 00:00:00-04:00,0.0
2010-07-11 00:00:00-04:00,0.0
2010-07-12 00:00:00-04:00,0.0
2010-07-13 00:00:00-04:00,0.0
2010-07-14 00:00:00-04:00,0.0
